Strike,Maturity,"Option
price",Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,ImpVolCalibrated,VegaRef,"Option
type",logMoneyness,impliedTotalVariance,Bid,Ask,ImpVolAsk,ImpVolBid,locvol,logMaturity,"Implied
vol."
2845,0.055,33.15,-0.421997549,262.4080232,0.752002463,0.004559803,720.238999,2841.206263,1,0.156272089,264.9676789,2,-0.006428573,0.001292549,32.8,33.5,0.157604923,0.154938908,1,-2.900422094,0.156272089
2860,0.055,38.45,-0.47957444,267.1876297,0.874475732,0.005835167,487.2057025,2856.186261,1,0.149979325,267.2138185,2,-0.001170016,0.001182036,38.1,38.8,0.151289237,0.148669404,1,-2.900422094,0.149979325
2865,0.055,40.4,-0.50004816,267.5383625,0.919702647,0.006330477,375.6803927,2861.179594,1,0.147867811,267.487614,2,0.00057671,0.001145237,40,40.8,0.149362925,0.146372698,1,-2.900422094,0.147867811
2890,0.055,51.5,-0.611903301,256.9430642,1.186076362,0.009506487,-578.0175928,2886.146257,1,0.136417622,265.3315704,2,0.009264861,0.000955418,51.1,51.9,0.137969023,0.134864743,1,-2.900422094,0.136417622
2895,0.055,54.1,-0.635736389,251.8991641,1.24804046,0.010279932,-875.4096076,2891.13959,1,0.134257675,264.2117662,2,0.01099347,0.00092094,53.7,54.5,0.135837122,0.132675964,1,-2.900422094,0.134257675
2900,0.055,56.8,-0.66014077,245.6828578,1.313836349,0.011129212,-1225.370077,2896.132922,1,0.132003697,262.8705971,2,0.012719096,0.000884303,56.4,57.2,0.133618711,0.130385344,1,-2.900422094,0.132003697
2905,0.055,59.7,-0.684392693,238.4248934,1.381933453,0.0119959,-1623.818515,2901.126255,1,0.130051049,261.3126497,2,0.01444175,0.000852514,59.3,60.1,0.131709344,0.128388003,1,-2.900422094,0.130051049
2910,0.055,62.7,-0.709029426,229.9149563,1.454207614,0.012943143,-2090.647448,2906.119587,1,0.127988568,259.5430136,2,0.016161441,0.00081862,62.3,63.1,0.129699904,0.126270577,1,-2.900422094,0.127988568
2920,0.055,69.5,-0.754484103,211.05752,1.597668956,0.014649632,-3148.346245,2916.106253,1,0.125772891,255.3913899,2,0.019591976,0.000777547,68.3,70.7,0.131260472,0.120177372,1,-2.900422094,0.125772891
2925,0.055,72.75,-0.780007843,198.5619892,1.685102898,0.015889183,-3895.300407,2921.099585,1,0.123130423,253.0218549,2,0.02130284,0.000734985,71.5,74,0.129123192,0.116974078,1,-2.900422094,0.123130423
