Strike,Maturity,"Option
price",Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,ImpVolCalibrated,VegaRef,"Option
type",logMoneyness,impliedTotalVariance,Bid,Ask,ImpVolAsk,ImpVolBid,locvol,logMaturity,"Implied
vol."
2440,0.055,0.75,-0.0105276434201075,18.6931620087588,0.0169394834475141,-4.47443737700662E-05,69.8639207839487,2436.74632072449,1,0.300899326149374,5.9625466127681,2,-0.159993601339751,0.00495990495,0.65,0.85,0.305971899302676,0.295344435342122,1,-2.90042209374967,
2445,0.055,0.75,-0.0106335485582928,18.8568746924052,0.0170753958323727,-4.52947666393113E-05,70.3051849678254,2441.73965334892,1,0.297514477593359,6.56131021894394,2,-0.157946517718026,0.00484822855,0.65,0.85,0.302541456074687,0.292009955528192,1,-2.90042209374967,
2450,0.055,0.8,-0.0112869076870598,19.861035390582,0.0181190185023708,-4.64400154743416E-05,74.3790020174101,2446.73298597336,1,0.296675972430967,7.21002286152342,2,-0.155903616088225,0.00481888,0.7,0.9,0.301457978948019,0.291472094878554,1,-2.90042209374967,
2460,0.055,0.85,-0.0120861288223761,21.0762719054114,0.0193571537847728,-4.81154572212139E-05,79.0747033525295,2456.71965122223,1,0.292268752027303,8.66971668912343,2,-0.15183029070059,0.0046766808,0.75,0.95,0.296787286095787,0.287378712417558,1,-2.90042209374967,
2465,0.055,0.85,-0.0122443055753332,21.3151424454472,0.0195734236033752,-4.87404754586873E-05,79.8040448401266,2461.71298384666,1,0.288850464078132,9.48711506382376,2,-0.149799833150208,0.00457142895,0.75,0.95,0.293327111366671,0.284006129414775,1,-2.90042209374967,
2475,0.055,0.9,-0.013077257582952,22.5644492899916,0.020855988848263,-5.03931092710086E-05,84.5992245425896,2471.69964909554,1,0.284259264776483,11.3135898516141,2,-0.145751244624207,0.00442671295,0.8,1,0.288497140770778,0.279695746814832,1,-2.90042209374967,
2495,0.055,1.05,-0.0153654197567823,25.9272620293815,0.024421310425314,-5.37400823520117E-05,97.8859043269981,2491.67297959328,1,0.276562965661287,15.8292445613569,2,-0.137702911441379,0.00418664455,0.95,1.15,0.280265872186283,0.272621997317765,1,-2.90042209374967,
2500,0.055,1.1,-0.0161110078451367,27.0027888623292,0.0255924849627507,-5.45144225110043E-05,102.229882584041,2496.66631221771,1,0.274941921251593,17.1581873147663,2,-0.135700908770706,0.00413822695,1,1.2,0.278504211816471,0.271162567526335,1,-2.90042209374967,
2510,0.055,1.2,-0.0175850042196312,29.102145216406,0.0278980324909663,-5.58653656150181E-05,110.676377843317,2506.65297746658,1,0.271440142579377,20.0804160149214,2,-0.131708887501169,0.00403031695,1.1,1.3,0.274749508796958,0.267948421195615,1,-2.90042209374967,
2515,0.055,1.25,-0.0183756863092067,30.2142842319871,0.029134936462445,-5.64393626471109E-05,115.169895337855,2511.64631009102,1,0.269569944631075,21.6805035120634,2,-0.129718837093159,0.00397689655,1.15,1.35,0.272764996095793,0.266206978604896,1,-2.90042209374967,
2530,0.055,1.4,-0.0206843895125501,33.4095184979011,0.0327227430985706,-5.77948766154288E-05,127.964171762085,2526.62630796433,1,0.263533964433009,27.0758630930514,2,-0.123772337905432,0.00379562095,1.3,1.5,0.266425374959363,0.260509405488847,1,-2.90042209374967,
2560,0.055,1.8,-0.0268282719385783,41.578651085437,0.042322368204991,-5.72165758954585E-05,161.351338871495,2556.58630371094,1,0.252248019416584,40.8035019265289,2,-0.11198438215339,0.00347334295,1.7,1.9,0.254582002264215,0.249833981692791,1,-2.90042209374967,
2565,0.055,1.9,-0.0282741277958173,43.4384860045596,0.0446050879695128,-5.6181530862256E-05,169.183443754268,2561.57963633537,1,0.250859750254313,43.4997492519832,2,-0.110033162022128,0.00343475055,1.8,2,0.253096172359073,0.248551330534974,1,-2.90042209374967,
2580,0.055,2.175,-0.0325043598942262,48.7587598942454,0.0512535238092162,-5.20701811074374E-05,191.431668714217,2576.55963420868,1,0.245489250734681,52.319593851636,2,-0.104202241711335,0.0032906038,2.05,2.3,0.247981041821186,0.242911736431415,1,-2.90042209374967,
2585,0.055,2.275,-0.0339868992163493,50.5832797462198,0.0535812598142836,-5.01904752916743E-05,199.06082851045,2581.55296683311,1,0.24367700117873,55.5055918986375,2,-0.102266132684469,0.00323968095,2.15,2.4,0.246078555000713,0.241197168029612,1,-2.90042209374967,
